version,suite,total_cases,passed_cases,case_accuracy,provider_error_cases,measured_cases,file
v0,base,30,21,0.7,0,30,runs/v0_B_base_openai_20260915T195750027709.json
v1,base,30,23,0.7667,0,30,runs/v1_B_base_openai_20260915T200859664606.json
v2,base,30,24,0.8,0,30,runs/v2_B_base_openai_20260915T201431182416.json
v3,adversarial,12,6,0.5,0,12,runs/v3_B_adversarial_openai_20260916T095403298656.json
v3,base,30,28,0.9333,0,30,runs/v3_B_base_openai_20260915T204902842474.json
v3,group,10,9,0.9,0,10,runs/v3_B_group_openai_20260916T095349058223.json
v4,adversarial,12,9,0.75,0,12,runs/v4_B_adversarial_openai_20260916T095931576179.json
v4,base,30,28,0.9333,0,30,runs/v4_B_base_openai_20260916T095857333717.json
v4,group,10,9,0.9,0,10,runs/v4_B_group_openai_20260916T095913270973.json
