version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,individual,baseline,v0+p27467914bc4d+td4848549884e,27467914bc4d93574eb1a418b77247c51682e04401c78fb4445c22b9019185a0,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,Thiết lập baseline trước khi chỉnh sửa,Đo hành vi ban đầu của agent với prompt và tool schema starter,case_accuracy,,0.7,../runs/v0_B_base_openai_20260915T185918096435.json
v1,individual,system_prompt.md,v1+p4ef972ef66f3+td4848549884e,4ef972ef66f302293f1d00329cfbd81908d3f2611159e658294d6c4e6019ab50,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,Bổ sung routing clarify argument và confirmation boundary vào system prompt,Quy tắc rõ hơn sẽ giảm lỗi chọn tool thiếu thông tin và vượt boundary,case_accuracy,0.7,0.9667,../runs/v1_B_base_openai_20260915T195033048142.json
v2,individual,system_prompt.md,v2+pfa766fafb5d3+td4848549884e,fa766fafb5d39b78bc7a418dec90d470a6b1a6c51af533f61c3624135a7ebd08,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,Bổ sung trust boundary và quy tắc chống prompt injection,Prompt an toàn hơn nhưng không làm giảm chất lượng bộ base,case_accuracy,0.9667,0.9667,../runs/v2_B_base_openai_20260915T195822479817.json
v3,individual,tools.yaml,v3+pfa766fafb5d3+t444673ad7e97,fa766fafb5d39b78bc7a418dec90d470a6b1a6c51af533f61c3624135a7ebd08,444673ad7e9737ff958e26af6305ed38224c53ed6c4ea87bae3c2ffb6e62039b,Bắt buộc search_kb category và mô tả mapping email wifi vpn,Schema chặt hơn sẽ sửa lỗi category bị bỏ sót ở H03,case_accuracy,0.9667,1.0,../runs/v3_B_base_openai_20260915T201001847232.json
